0	0	0	0	0
500	579	535	234	795
1000	1143	1067	473	1591
1500	1734	1602	729	2408
2000	2353	2141	976	3221
2500	2940	2710	1272	4113
3000	3615	3265	1478	4897
3500	4228	3794	1745	5720
4000	4788	4378	1967	6549
4500	5342	4857	2183	7266
5000	5911	5441	2956	8661
5500	6732	6025	2814	9127
6000	7607	6516	3018	9875
6500	7865	7038	3337	10703
7000	8740	7611	3509	11475
7500	9037	8069	3742	12194
8000	9580	8763	4101	13272
8500	10381	9221	4200	13891
9000	10910	9810	4480	14759
9500	11053	10716	5158	15367
10000	12435	11026	5306	16884

